Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099118.511178,1.000000,2.000000,0.102716,0.111897,0.107404,0.004492
3570099118.521182,1.000000,2.000000,0.103798,0.112455,0.107958,0.004497
3570099118.531183,1.000000,2.000000,0.104886,0.113012,0.108510,0.004502
3570099118.541184,1.000000,2.000000,0.105979,0.113570,0.109063,0.004507
3570099118.551185,1.000000,2.000000,0.107078,0.114127,0.109616,0.004512
3570099118.561185,1.000000,2.000000,0.108183,0.114684,0.110168,0.004516
3570099118.571184,1.000000,2.000000,0.109293,0.115241,0.110720,0.004521
3570099118.581183,1.000000,2.000000,0.110408,0.115798,0.111272,0.004526
3570099118.591186,1.000000,2.000000,0.111529,0.116354,0.111823,0.004531
3570099118.601185,1.000000,2.000000,0.112655,0.116910,0.112375,0.004535
3570099118.611182,1.000000,2.000000,0.113787,0.117466,0.112926,0.004540
3570099118.621187,1.000000,2.000000,0.114925,0.118021,0.113476,0.004545
3570099118.631187,1.000000,2.000000,0.116068,0.118576,0.114027,0.004549
3570099118.641187,1.000000,2.000000,0.117217,0.119131,0.114577,0.004554
3570099118.651187,1.000000,2.000000,0.118371,0.119686,0.115128,0.004559
3570099118.661187,1.000000,2.000000,0.119530,0.120241,0.115677,0.004563
3570099118.671188,1.000000,2.000000,0.120695,0.120795,0.116227,0.004568
3570099118.681187,1.000000,2.000000,0.121866,0.121349,0.116776,0.004572
3570099118.691187,1.000000,2.000000,0.123042,0.121903,0.117326,0.004577
3570099118.701188,1.000000,2.000000,0.124223,0.122456,0.117875,0.004581
3570099118.711185,1.000000,2.000000,0.125410,0.123009,0.118423,0.004586
3570099118.721189,1.000000,2.000000,0.126603,0.123562,0.118972,0.004590
3570099118.731189,1.000000,2.000000,0.127800,0.124115,0.119520,0.004595
3570099118.741190,1.000000,2.000000,0.129004,0.124667,0.120068,0.004599
3570099118.751190,1.000000,2.000000,0.130213,0.125220,0.120616,0.004604
3570099118.761191,1.000000,2.000000,0.131427,0.125772,0.121163,0.004608
3570099118.771191,1.000000,2.000000,0.132647,0.126323,0.121710,0.004613
3570099118.781189,1.000000,2.000000,0.133872,0.126875,0.122257,0.004617
3570099118.791192,1.000000,2.000000,0.135103,0.127426,0.122804,0.004622
3570099118.801193,1.000000,2.000000,0.136339,0.127977,0.123351,0.004626
3570099118.811189,1.000000,2.000000,0.137581,0.128527,0.123897,0.004630
3570099118.821191,1.000000,2.000000,0.138828,0.129078,0.124443,0.004635
3570099118.831193,1.000000,2.000000,0.140081,0.129628,0.124989,0.004639
3570099118.841193,1.000000,2.000000,0.141339,0.130178,0.125534,0.004644
3570099118.851194,1.000000,2.000000,0.142602,0.130728,0.126080,0.004648
3570099118.861194,1.000000,2.000000,0.143871,0.131277,0.126625,0.004652
3570099118.871194,1.000000,2.000000,0.145146,0.131826,0.127170,0.004657
3570099118.881195,1.000000,2.000000,0.146426,0.132375,0.127714,0.004661
3570099118.891194,1.000000,2.000000,0.147711,0.132924,0.128259,0.004665
3570099118.901195,1.000000,2.000000,0.149002,0.133472,0.128803,0.004669
3570099118.911191,1.000000,2.000000,0.150298,0.134020,0.129347,0.004674
3570099118.921196,1.000000,2.000000,0.151600,0.134568,0.129890,0.004678
3570099118.931196,1.000000,2.000000,0.152907,0.135116,0.130434,0.004682
3570099118.941196,1.000000,2.000000,0.154219,0.135663,0.130977,0.004686
3570099118.951197,1.000000,2.000000,0.155537,0.136210,0.131520,0.004691
3570099118.961197,1.000000,2.000000,0.156860,0.136757,0.132062,0.004695
3570099118.971199,1.000000,2.000000,0.158189,0.137304,0.132605,0.004699
3570099118.981199,1.000000,2.000000,0.159523,0.137850,0.133147,0.004703
3570099118.991198,1.000000,2.000000,0.160863,0.138396,0.133689,0.004707
3570099119.001198,1.000000,2.000000,0.162208,0.138942,0.134230,0.004712
3570099119.011195,1.000000,2.000000,0.163558,0.139488,0.134772,0.004716
3570099119.021200,1.000000,2.000000,0.164914,0.140033,0.135313,0.004720
3570099119.031200,1.000000,2.000000,0.166275,0.140578,0.135854,0.004724
3570099119.041201,1.000000,2.000000,0.167642,0.141123,0.136395,0.004728
3570099119.051200,1.000000,2.000000,0.169014,0.141667,0.136935,0.004732
3570099119.061201,1.000000,2.000000,0.170392,0.142212,0.137475,0.004736
3570099119.071200,1.000000,2.000000,0.171774,0.142756,0.138015,0.004741
3570099119.081200,1.000000,2.000000,0.173163,0.143299,0.138555,0.004745
3570099119.091203,1.000000,2.000000,0.174556,0.143843,0.139094,0.004749
3570099119.101202,1.000000,2.000000,0.175955,0.144386,0.139633,0.004753
3570099119.111199,1.000000,2.000000,0.177360,0.144929,0.140172,0.004757
3570099119.121203,1.000000,2.000000,0.178769,0.145472,0.140711,0.004761
3570099119.131203,1.000000,2.000000,0.180185,0.146014,0.141249,0.004765
3570099119.141203,1.000000,2.000000,0.181605,0.146557,0.141788,0.004769
3570099119.151204,1.000000,2.000000,0.183031,0.147099,0.142326,0.004773
3570099119.161204,1.000000,2.000000,0.184463,0.147640,0.142863,0.004777
3570099119.171204,1.000000,2.000000,0.185899,0.148182,0.143401,0.004781
3570099119.181204,1.000000,2.000000,0.187341,0.148723,0.143938,0.004785
3570099119.191205,1.000000,2.000000,0.188789,0.149264,0.144475,0.004789
3570099119.201206,1.000000,2.000000,0.190241,0.149804,0.145011,0.004793
3570099119.211201,1.000000,2.000000,0.191700,0.150345,0.145548,0.004797
3570099119.221206,1.000000,2.000000,0.193163,0.150885,0.146084,0.004801
3570099119.231205,1.000000,2.000000,0.194632,0.151425,0.146620,0.004805
3570099119.241207,1.000000,2.000000,0.196106,0.151964,0.147156,0.004809
3570099119.251207,1.000000,2.000000,0.197586,0.152504,0.147691,0.004813
3570099119.261208,1.000000,2.000000,0.199071,0.153043,0.148226,0.004817
3570099119.271208,1.000000,2.000000,0.200561,0.153582,0.148761,0.004821
3570099119.281209,1.000000,2.000000,0.202057,0.154120,0.149296,0.004825
3570099119.291207,1.000000,2.000000,0.203558,0.154659,0.149830,0.004829
3570099119.301209,1.000000,2.000000,0.205064,0.155197,0.150364,0.004832
3570099119.311204,1.000000,2.000000,0.206576,0.155734,0.150898,0.004836
3570099119.321208,1.000000,2.000000,0.208093,0.156272,0.151432,0.004840
3570099119.331210,1.000000,2.000000,0.209615,0.156809,0.151965,0.004844
