Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009597.362646,0.012820,0.002172,-0.028109,0.000932,-0.049851,0.000515,1.000000
3572009597.372648,0.041633,0.002637,0.002063,0.000274,-0.024916,-0.001032,1.000000
3572009597.382646,-0.005544,0.003940,-0.038366,0.000538,0.015746,-0.001802,1.000000
3572009597.392647,0.014930,0.003807,-0.005708,-0.000388,0.016155,-0.001350,1.000000
3572009597.402647,-0.035079,0.004288,0.036897,-0.000315,0.027444,-0.000898,1.000000
3572009597.412647,0.070509,0.003279,0.043176,0.001023,0.041429,-0.000125,1.000000
3572009597.422647,-0.042012,0.005423,-0.072935,0.002518,0.008175,0.001041,1.000000
3572009597.432648,0.004010,0.004191,0.051760,0.000537,0.039359,0.001191,1.000000
3572009597.442648,-0.044506,0.004352,-0.035203,0.002313,-0.022007,0.002259,1.000000
3572009597.452650,-0.006215,0.003096,0.020097,0.001461,-0.006947,0.001482,1.000000
3572009597.462650,0.023271,0.003009,0.009135,0.002279,-0.012174,0.001169,1.000000
3572009597.472651,0.013217,0.003804,-0.028643,0.002754,0.005091,0.000708,1.000000
3572009597.482649,-0.002997,0.004279,0.027807,0.002109,-0.018626,0.000770,1.000000
3572009597.492650,-0.011051,0.004272,-0.004690,0.003153,0.006779,0.000126,1.000000
3572009597.502650,-0.029253,0.004026,-0.047538,0.003218,-0.045036,0.000251,1.000000
3572009597.512651,0.040380,0.003269,0.011778,0.002010,0.057038,-0.001164,1.000000
3572009597.522651,0.015342,0.004567,-0.071088,0.002619,-0.004069,0.000480,1.000000
3572009597.532651,-0.041760,0.005111,0.031982,0.000755,-0.005771,0.000272,1.000000
3572009597.542652,0.005611,0.003958,-0.027102,0.001997,-0.008936,0.000017,1.000000
3572009597.552651,-0.047159,0.004245,0.036007,0.001463,0.026610,-0.000326,1.000000
3572009597.562653,-0.051899,0.002957,0.015669,0.002824,-0.028576,0.000392,1.000000
3572009597.572653,0.048632,0.001591,0.006988,0.003539,0.045182,-0.000544,1.000000
3572009597.582653,0.035055,0.003216,-0.031417,0.004000,-0.003738,0.000727,1.000000
3572009597.592654,0.051335,0.004416,-0.004742,0.003307,0.002977,0.000516,1.000000
3572009597.602654,0.058035,0.006066,0.012089,0.003431,-0.011066,0.000508,1.000000
3572009597.612655,0.007340,0.007878,0.025944,0.004052,-0.026385,0.000084,1.000000
3572009597.622655,0.037845,0.008149,-0.010964,0.005066,0.006094,-0.000784,1.000000
3572009597.632655,0.059414,0.009309,-0.017737,0.004976,-0.019392,-0.000668,1.000000
3572009597.642656,-0.022575,0.011088,-0.021095,0.004687,0.019857,-0.001311,1.000000
3572009597.652655,-0.043285,0.010383,0.040491,0.004326,0.023298,-0.000776,1.000000
3572009597.662656,0.047854,0.009090,0.065574,0.005803,-0.003880,-0.000153,1.000000
3572009597.672657,-0.018502,0.010546,-0.033114,0.007977,0.034957,-0.000352,1.000000
3572009597.682656,0.006759,0.009989,-0.042167,0.007189,-0.012332,0.000603,1.000000
3572009597.692657,0.071418,0.010220,-0.033298,0.006147,0.069833,0.000132,1.000000
3572009597.702658,0.007262,0.012326,0.022964,0.005431,0.000500,0.002106,1.000000
3572009597.712658,0.031517,0.012511,0.009789,0.006383,-0.005366,0.001976,1.000000
3572009597.722659,-0.008164,0.013416,0.055035,0.006922,0.024272,0.001674,1.000000
3572009597.732658,0.051941,0.013115,0.003175,0.008800,-0.098578,0.002256,1.000000
3572009597.742659,0.010032,0.014659,-0.005527,0.009051,-0.032204,-0.000814,1.000000
3572009597.752659,-0.030601,0.014897,-0.018747,0.009070,-0.010920,-0.001841,1.000000
3572009597.762660,-0.027826,0.013923,0.032357,0.008711,-0.018009,-0.002212,1.000000
3572009597.772660,0.093261,0.013069,0.028432,0.009878,0.013917,-0.002783,1.000000
3572009597.782659,-0.028655,0.015811,0.014919,0.010913,-0.013889,-0.002395,1.000000
3572009597.792662,0.071735,0.014888,-0.008680,0.011514,-0.079028,-0.002841,1.000000
3572009597.802660,-0.034126,0.016997,-0.041147,0.011380,0.044268,-0.005205,1.000000
3572009597.812662,0.052472,0.015861,-0.014112,0.010346,-0.003910,-0.003857,1.000000
3572009597.822662,-0.001843,0.017349,-0.005584,0.010129,0.016358,-0.003971,1.000000
3572009597.832662,-0.009757,0.017183,0.043305,0.010185,0.001025,-0.003482,1.000000
3572009597.842661,0.000224,0.016802,-0.024379,0.011684,-0.031385,-0.003461,1.000000
3572009597.852663,0.025272,0.016750,-0.001026,0.011132,0.048659,-0.004400,1.000000
3572009597.862663,0.068891,0.017404,0.020761,0.011326,0.074424,-0.002945,1.000000
3572009597.872664,-0.023654,0.019319,0.031973,0.012176,0.026502,-0.000765,1.000000
3572009597.882665,-0.002113,0.018475,0.050112,0.013318,-0.034975,-0.000061,1.000000
3572009597.892663,0.036704,0.018333,0.006832,0.014943,0.004055,-0.001196,1.000000
3572009597.902664,0.061940,0.019327,0.008842,0.015265,0.015182,-0.001147,1.000000
3572009597.912665,0.022107,0.021037,0.043731,0.015648,0.038199,-0.000770,1.000000
3572009597.922664,0.028373,0.021513,-0.006320,0.017068,-0.030591,0.000279,1.000000
3572009597.932664,0.003106,0.022206,-0.005801,0.016942,0.016728,-0.000737,1.000000
3572009597.942666,0.087486,0.022110,-0.030381,0.016863,-0.019467,-0.000326,1.000000
3572009597.952665,0.036616,0.024539,-0.011559,0.016049,-0.045780,-0.000998,1.000000
3572009597.962665,0.061987,0.025415,0.024112,0.015808,-0.027710,-0.002432,1.000000
3572009597.972667,-0.009585,0.027011,0.005334,0.016643,-0.041421,-0.003294,1.000000
3572009597.982666,0.004958,0.026459,0.029652,0.016899,0.001841,-0.004540,1.000000
3572009597.992666,0.120045,0.026334,0.006883,0.017894,-0.019580,-0.004474,1.000000
3572009598.002667,0.008712,0.029633,-0.060462,0.018182,-0.104330,-0.005043,1.000000
3572009598.012667,-0.046208,0.029602,0.014206,0.016430,-0.007508,-0.008107,1.000000
3572009598.022668,-0.014724,0.027896,0.033493,0.016997,-0.004146,-0.008226,1.000000
3572009598.032668,0.057658,0.027175,0.008607,0.018125,-0.047025,-0.008242,1.000000
3572009598.042668,0.013082,0.028649,-0.028154,0.018468,-0.000791,-0.009527,1.000000
3572009598.052669,0.006984,0.028738,0.017908,0.017745,-0.055618,-0.009410,1.000000
3572009598.062670,-0.000111,0.028686,-0.001916,0.018381,-0.000561,-0.010919,1.000000
3572009598.072670,0.015077,0.028396,-0.001859,0.018449,-0.012387,-0.010760,1.000000
3572009598.082670,0.037374,0.028578,-0.047302,0.018517,0.010317,-0.010954,1.000000
3572009598.092670,0.064988,0.029405,0.036274,0.017258,-0.015620,-0.010471,1.000000
3572009598.102671,-0.015119,0.031047,0.060423,0.018498,-0.018617,-0.010768,1.000000
