Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296718.881306,4.457296,4.483571,1.763536,1.770850,-1.332341,-1.354209
3571296718.891306,4.404034,4.482201,1.708311,1.772737,-1.293868,-1.353308
3571296718.901303,4.515878,4.478212,1.768449,1.771835,-1.376713,-1.350567
3571296718.911307,4.445333,4.480057,1.602237,1.773918,-1.313116,-1.351997
3571296718.921308,4.487573,4.478228,1.723541,1.767789,-1.348800,-1.350255
3571296718.931307,4.483042,4.478627,1.760198,1.767877,-1.486061,-1.350336
3571296718.941308,4.466150,4.479093,1.742029,1.769737,-1.375419,-1.357118
3571296718.951309,4.500342,4.478465,1.811484,1.770635,-1.446298,-1.358185
3571296718.961308,4.444240,4.479693,1.849104,1.774872,-1.315468,-1.362667
3571296718.971307,4.510352,4.477830,1.647924,1.780742,-1.282330,-1.360552
3571296718.981309,4.583434,4.479207,1.727161,1.776509,-1.379854,-1.356914
3571296718.991310,4.465503,4.484301,1.696367,1.776356,-1.373107,-1.358206
3571296719.001306,4.476062,4.483380,1.716678,1.774710,-1.364118,-1.359109
3571296719.011310,4.563915,4.482998,1.857187,1.774134,-1.340132,-1.359532
3571296719.021309,4.531913,4.486865,1.658111,1.780439,-1.378644,-1.358763
3571296719.031310,4.509135,4.489071,1.708365,1.776731,-1.273331,-1.359910
3571296719.041311,4.385532,4.489820,1.747983,1.775642,-1.364913,-1.355860
3571296719.051311,4.560238,4.484710,1.810620,1.776550,-1.294765,-1.356467
3571296719.061311,4.323178,4.488209,1.732994,1.780463,-1.349746,-1.353620
3571296719.071311,4.613238,4.480099,1.734823,1.780408,-1.256321,-1.353587
3571296719.081312,4.378867,4.486319,1.731396,1.780429,-1.346207,-1.348991
3571296719.091311,4.475636,4.481007,1.743854,1.780297,-1.359312,-1.348996
3571296719.101308,4.388256,4.480701,1.694975,1.780781,-1.290271,-1.349640
3571296719.111312,4.473040,4.475991,1.763554,1.778849,-1.381041,-1.346881
3571296719.121312,4.512029,4.475848,1.730554,1.780366,-1.406297,-1.348682
3571296719.131312,4.509284,4.477672,1.698723,1.780199,-1.343499,-1.351634
3571296719.141312,4.465545,4.479130,1.750566,1.778488,-1.446252,-1.351385
3571296719.151313,4.537709,4.478616,1.725195,1.779385,-1.390615,-1.356166
3571296719.161314,4.477939,4.481520,1.831096,1.779007,-1.371436,-1.358011
3571296719.171314,4.522651,4.481325,1.698797,1.783813,-1.286521,-1.358836
3571296719.181313,4.611893,4.483127,1.698383,1.781924,-1.337536,-1.355474
3571296719.191315,4.528688,4.489309,1.686041,1.780114,-1.268072,-1.354757
3571296719.201311,4.570918,4.490976,1.715774,1.777778,-1.449220,-1.350680
3571296719.211315,4.474228,4.495032,1.665188,1.777015,-1.348837,-1.355637
3571296719.221316,4.545267,4.493946,1.786441,1.773826,-1.241696,-1.355465
3571296719.231315,4.508383,4.496136,1.762747,1.776686,-1.258033,-1.350066
3571296719.241316,4.531483,4.496456,1.644458,1.778257,-1.349088,-1.345711
3571296719.251316,4.473878,4.498093,1.659583,1.773998,-1.339573,-1.346003
3571296719.261316,4.489728,4.496818,1.739248,1.770683,-1.281536,-1.345816
3571296719.271316,4.563129,4.496245,1.748903,1.771405,-1.282500,-1.342802
3571296719.281317,4.573747,4.499282,1.858037,1.772564,-1.348855,-1.339973
3571296719.291317,4.556916,4.502840,1.726995,1.779000,-1.279350,-1.340515
3571296719.301314,4.561967,4.505245,1.715052,1.778723,-1.291384,-1.337637
3571296719.311317,4.411827,4.507807,1.695139,1.777879,-1.300312,-1.335478
3571296719.321319,4.532116,4.502940,1.728022,1.776108,-1.378980,-1.333854
3571296719.331318,4.513689,4.504354,1.733854,1.776033,-1.381416,-1.336147
3571296719.341320,4.455033,4.504805,1.760352,1.776248,-1.338981,-1.338455
3571296719.351319,4.600727,4.502276,1.817412,1.777743,-1.391168,-1.338585
3571296719.361319,4.523609,4.507094,1.675569,1.781951,-1.204499,-1.341259
